zip_code,broad_category,least_category,mid_category,fine_category,final_category,original_price,new_price,discount
8000,Dairy And Cold Storage,Ready To Eat Meals,Sandwiches Wraps,Unknown,Sandwiches Wraps,22.95,14,8.95
8000,Bread And Cakes,Crackers Crisp Bread,Crisp Bread,Unknown,Crisp Bread,25,16,9
8000,Bread And Cakes,Light Breads Dark Breads,Toast Breads,Unknown,Toast Breads,25,13,12
8000,Bread And Cakes,Light Breads Dark Breads,Toast Breads,Unknown,Toast Breads,14.95,8,6.95
8000,Bread And Cakes,Rye Breads,Rye Breads With Carrots,Unknown,Rye Breads With Carrots,14.95,8,6.95
8000,Meat Fish,Pork,Pork Chops Pork Schnitzels,Unknown,Pork Chops Pork Schnitzels,39.95,23,16.95
8000,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,Unknown,Dinner Meals,41.95,21,20.95
8000,Bread And Cakes,Light Breads Dark Breads,Whole Breads,Unknown,Whole Breads,24.95,10,14.95
8000,Bread And Cakes,Light Breads Dark Breads,Light Dark Buns,Unknown,Light Dark Buns,23.95,13,10.95
8000,Bread And Cakes,Rye Breads,Sun Flower Seeded Rye Breads,Unknown,Sun Flower Seeded Rye Breads,21.95,8,13.95
8000,Bread And Cakes,Rye Breads,Seeded Rye Breads,Unknown,Seeded Rye Breads,25,13,12
8000,Bread And Cakes,Light Breads Dark Breads,Toast Breads,Unknown,Toast Breads,18.95,8,10.95
8000,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,Unknown,Dinner Meals,32,13,19
8000,Bread And Cakes,Rye Breads,Other Rye Breads,Unknown,Other Rye Breads,23.95,9,14.95
8000,Bread And Cakes,Light Breads Dark Breads,Light Dark Buns,Unknown,Light Dark Buns,15.95,8,7.95
8000,Bread And Cakes,Light Breads Dark Breads,Whole Breads,Unknown,Whole Breads,20,11,9
8000,Bread And Cakes,Light Breads Dark Breads,Light Dark Buns,Unknown,Light Dark Buns,23.95,13,10.95
8000,Dairy And Cold Storage,Lunch Meats,Meat,Meat Sausage,Meat Sausage,14.95,9,5.95
8000,Dairy And Cold Storage,Tapas Specialities,Olives Other Attachments,Unknown,Olives Other Attachments,19.95,15,4.95
8000,Dairy And Cold Storage,Lunch Meats,Meat,Salami,Salami,10.95,8,2.95
8000,Dairy And Cold Storage,Ready To Eat Meals,Dinner Salads,Unknown,Dinner Salads,19.95,8,11.95
8000,Dairy And Cold Storage,Fresh Dough And Pancakes,fresh Dough,Unknown,fresh Dough,14.95,11,3.95
8000,Bread And Cakes,Rye Breads,Seeded Rye Breads,Unknown,Seeded Rye Breads,25.95,13,12.95
8000,Dairy And Cold Storage,Lunch Meats,Meat,Corned Beef,Corned Beef,13.5,7,6.5
8000,Dairy And Cold Storage,Lunch Meats,Meat,Meat Sausage,Meat Sausage,29.95,15,14.95
8000,Dairy And Cold Storage,Tapas Specialities,Pesto Hummus,Unknown,Pesto Hummus,19.95,15,4.95
8000,Dairy And Cold Storage,Lunch Meats,Meat,Sliced Lunch Meats,Sliced Lunch Meats,14.95,9,5.95
8000,Dairy And Cold Storage,Lunch Meats,Meat,Sliced Lunch Meats,Sliced Lunch Meats,12.95,10,2.95
8000,Bread And Cakes,Light Breads Dark Breads,Light Dark Buns,Unknown,Light Dark Buns,22.75,12,10.75
8000,Dairy And Cold Storage,Lunch Meats,Mayo Salads,Fish Mayo Salads,Fish Mayo Salads,12,9,3
8000,Dairy And Cold Storage,Lunch Meats,Mayo Salads,Poultry Mayo Salads,Poultry Mayo Salads,12,9,3
8000,Dairy And Cold Storage,Lunch Meats,Mayo Salads,Poultry Mayo Salads,Poultry Mayo Salads,12,9,3
8000,Unknown,Unknown,Unknown,Unknown,Unknown,25,15,10
8000,Unknown,Unknown,Unknown,Unknown,Unknown,32,23,9
8000,Dairy And Cold Storage,Lunch Meats,Liver Paste Patee,Unknown,Liver Paste Patee,29.95,15,14.95
8000,Dairy And Cold Storage,Lunch Meats,Liver Paste Patee,Unknown,Liver Paste Patee,14.95,11,3.95
8000,Dairy And Cold Storage,Lunch Meats,Meat,Smoked Saddle Of Pork,Smoked Saddle Of Pork,17.95,14,3.95
8000,Dairy And Cold Storage,Lunch Meats,Meat,Sliced Lunch Meats,Sliced Lunch Meats,17.95,12,5.95
8000,Dairy And Cold Storage,Lunch Meats,Meat,Sausage Roll,Sausage Roll,14.5,11,3.5
8000,Dairy And Cold Storage,Tapas Specialities,Cold Cuts Specialities,Unknown,Cold Cuts Specialities,29.95,23,6.95
8000,Unknown,Unknown,Unknown,Unknown,Unknown,16.95,13,3.95
8000,Unknown,Unknown,Unknown,Unknown,Unknown,39.95,31,8.95
8000,Dairy And Cold Storage,Bacon Sausages Toppings,Bacon,Sliced Bacon,Sliced Bacon,31.95,18,13.95
8000,Dairy And Cold Storage,Bacon Sausages Toppings,Sausages,Pork Sausages,Pork Sausages,32.95,25,7.95
8000,Dairy And Cold Storage,Dairy,Plant Based Alternatives,Plant Based Yoghurt Alternatives,Plant Based Yoghurt Alternatives,21.5,17,4.5
8000,Unknown,Unknown,Unknown,Unknown,Unknown,35,18,17
8000,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,Unknown,Dinner Meals,42.95,27,15.95
8000,Beverages,Juice Smoothies,Smoothies,Unknown,Smoothies,19.95,15,4.95
8000,Dairy And Cold Storage,Dairy,Cold Butter Milk Soup,Unknown,Cold Butter Milk Soup,19,8,11
8000,Dairy And Cold Storage,Dairy,Yoghurt Soured Milk Products,Drinking Yoghurt Kids Yoghurt,Drinking Yoghurt Kids Yoghurt,21.95,17,4.95
8000,Dairy And Cold Storage,Dairy,Yoghurt Soured Milk Products,Drinking Yoghurt Kids Yoghurt,Drinking Yoghurt Kids Yoghurt,5,3,2
8000,Dairy And Cold Storage,Dairy,Yoghurt Soured Milk Products,Yoghurt,Yoghurt,7.95,4,3.95
8000,Dairy And Cold Storage,Dairy,Yoghurt Soured Milk Products,Drinking Yoghurt Kids Yoghurt,Drinking Yoghurt Kids Yoghurt,16.5,13,3.5
8000,Dairy And Cold Storage,Ready To Eat Meals,Sandwiches Wraps,Unknown,Sandwiches Wraps,22.95,18,4.95
8000,Dairy And Cold Storage,Ready To Eat Meals,Sandwiches Wraps,Unknown,Sandwiches Wraps,21.95,18,3.95
8000,Dairy And Cold Storage,Lunch Meats,Meat,Sliced Lunch Meats,Sliced Lunch Meats,29.95,18,11.95
8000,Dairy And Cold Storage,Tapas Specialities,Olives Other Attachments,Unknown,Olives Other Attachments,19.95,15,4.95
8000,Dairy And Cold Storage,Lunch Meats,Meat,Sliced Lunch Meats,Sliced Lunch Meats,17.95,9,8.95
8000,Dairy And Cold Storage,Bacon Sausages Toppings,Sausages,Pork Sausages,Pork Sausages,29.95,15,14.95
8000,Meat Fish,Pork,Roasted Whole Pork Pieces,Pork Neck Pork Loin,Pork Neck Pork Loin,32.95,26,6.95
8000,Bread And Cakes,Light Breads Dark Breads,Toast Breads,Unknown,Toast Breads,21.95,12,9.95
8000,Dairy And Cold Storage,Lunch Meats,Liver Paste Patee,Unknown,Liver Paste Patee,24.95,13,11.95
8000,Meat Fish,Pork,Other Pork,Unknown,Other Pork,49.95,36,13.95
8000,Dairy And Cold Storage,Lunch Meats,Meat,Cold Cuts Ham,Cold Cuts Ham,22.95,12,10.95
8000,Dairy And Cold Storage,Lunch Meats,Meat Balls,Unknown,Meat Balls,19.95,15,4.95
8000,Dairy And Cold Storage,Potato Accessories,potato Salad,Unknown,potato Salad,29.95,16,13.95
8000,Dairy And Cold Storage,Lunch Meats,Liver Paste Patee,Unknown,Liver Paste Patee,19.95,13,6.95
8000,Bread And Cakes,Rye Breads,Seeded Rye Breads,Unknown,Seeded Rye Breads,14.95,11,3.95
8000,Dairy And Cold Storage,Dairy,Cream Whipped Cream,Whipping Cream,Whipping Cream,16.5,9,7.5
8000,Dairy And Cold Storage,Ready To Eat Meals,Sandwiches Wraps,Unknown,Sandwiches Wraps,22.95,12,10.95
8000,Dairy And Cold Storage,Ready To Eat Meals,Sandwiches Wraps,Unknown,Sandwiches Wraps,22.95,18,4.95
8000,Dairy And Cold Storage,Ready To Eat Meals,Dinner Salads,Unknown,Dinner Salads,23.95,16,7.95
8000,Dairy And Cold Storage,Dairy,Cheese,Sliced Cheese,Sliced Cheese,34.95,18,16.95
8000,Dairy And Cold Storage,Lunch Meats,Liver Paste Patee,Unknown,Liver Paste Patee,29.95,15,14.95
8000,Dairy And Cold Storage,Dairy,Cheese,Cottage Cheese,Cottage Cheese,14.95,9,5.95
8000,Dairy And Cold Storage,Dairy,Yoghurt Soured Milk Products,Yoghurt,Yoghurt,18.95,11,7.95
8000,Unknown,Unknown,Unknown,Unknown,Unknown,22,11,11
