zip_code,store_name,store_street,description,original_price,new_price,discount,category1,category2,category3,category4,category5,category6,category7,category8,category9,category10,final_category
2400,Netto Emdrupvej,Emdrupvej 107,JÆGERPØLSE 3-STJERNET,19.95,10,9.95,Dairy And Cold Storage,Lunch Meats,Meat,Meat Sausage,,,,,,,Meat Sausage
2400,Netto Emdrupvej,Emdrupvej 107,HAMBURGERRYG PÅLÆKKER,15.95,9,6.95,Dairy And Cold Storage,Lunch Meats,Meat,Smoked Saddle Of Pork,,,,,,,Smoked Saddle Of Pork
2400,Netto Emdrupvej,Emdrupvej 107,BEARNAISESAUCE JENSENS,15.95,8,7.95,Dairy And Cold Storage,Sauces Dressings,Sauce,,,,,,,,Sauce
2400,Netto Emdrupvej,Emdrupvej 107,BACON BEARNAISE JENSENS,10.0,7,3.0,,,,,,,,,,,
2400,Netto Emdrupvej,Emdrupvej 107,BUTTERDEJ NÆMT,13.95,11,2.95,Dairy And Cold Storage,Fresh Dough And Pancakes,fresh Dough,,,,,,,,fresh Dough
2400,Netto Emdrupvej,Emdrupvej 107,MINIMÆLK 1L ESL NORA,11.95,9,2.95,Dairy And Cold Storage,Dairy,Milk,Semiskimmed Milk,,,,,,,Semiskimmed Milk
2400,Netto Emdrupvej,Emdrupvej 107,ØKO SKUMMETMÆLK LØGISMOSE,17.0,13,4.0,Dairy And Cold Storage,Dairy,Milk,Nonfat Milk,,,,,,,Nonfat Milk
2400,Netto Emdrupvej,Emdrupvej 107,BACON LEVERPOSTEJ TULIP,19.95,11,8.95,Dairy And Cold Storage,Lunch Meats,Liver Paste Patee,,,,,,,,Liver Paste Patee
2400,Netto Emdrupvej,Emdrupvej 107,"HØNSESALAT, PLUKKET K-SALAT",19.95,10,9.95,Dairy And Cold Storage,Lunch Meats,Mayo Salads,Poultry Mayo Salads,,,,,,,Poultry Mayo Salads
2400,Netto Emdrupvej,Emdrupvej 107,KARTOFFELSALAT FLENSTED,15.0,11,4.0,Dairy And Cold Storage,Potato Accessories,potato Salad,,,,,,,,potato Salad
2400,Netto Emdrupvej,Emdrupvej 107,KYL.STRIMLER NÆMT,59.95,37,22.95,Dairy And Cold Storage,Lunch Meats,Prepared Chicken,,,,,,,,Prepared Chicken
2400,Netto Emdrupvej,Emdrupvej 107,FALAFEL SPIR,21.95,15,6.95,Dairy And Cold Storage,Ready To Eat Meals,Ready To Eat Meat Alternatives,,,,,,,,Ready To Eat Meat Alternatives
2400,Netto Emdrupvej,Emdrupvej 107,HOTDOGPØLSER STEFF HOULBERG,32.95,17,15.95,Dairy And Cold Storage,Bacon Sausages Toppings,Sausages,Pork Sausages,,,,,,,Pork Sausages
2400,Netto Emdrupvej,Emdrupvej 107,BACONSTRIMLER BRUNCHY,21.95,17,4.95,Dairy And Cold Storage,Bacon Sausages Toppings,Bacon,Chopped Bacon Bits,,,,,,,Chopped Bacon Bits
2400,Netto Emdrupvej,Emdrupvej 107,BACON-PEBER POSTEJ STRYHNS,24.95,13,11.95,Dairy And Cold Storage,Lunch Meats,Liver Paste Patee,,,,,,,,Liver Paste Patee
2400,Netto Emdrupvej,Emdrupvej 107,BACON I SKIVER EGELYKKE,31.95,25,6.95,Dairy And Cold Storage,Bacon Sausages Toppings,Bacon,Sliced Bacon,,,,,,,Sliced Bacon
2400,Netto Emdrupvej,Emdrupvej 107,FYLDT RØD PEBER LA CAMPAGNA,19.95,15,4.95,Dairy And Cold Storage,Tapas Specialities,Olives Other Attachments,,,,,,,,Olives Other Attachments
2400,Netto Emdrupvej,Emdrupvej 107,SKINKESALAT K-SALAT,19.95,10,9.95,Dairy And Cold Storage,Lunch Meats,Mayo Salads,Pork Mayo Salads,,,,,,,Pork Mayo Salads
2400,Netto Emdrupvej,Emdrupvej 107,SPICY HUMMUS LA CAMPAGNA,19.95,15,4.95,Dairy And Cold Storage,Tapas Specialities,Pesto Hummus,,,,,,,,Pesto Hummus
2400,Netto Emdrupvej,Emdrupvej 107,GROVHAK. LEVERPOSTEJ EGELYKKE,14.5,11,3.5,Dairy And Cold Storage,Lunch Meats,Liver Paste Patee,,,,,,,,Liver Paste Patee
2400,Netto Emdrupvej,Emdrupvej 107,CREME FRISK 18% NATURLI,12.95,10,2.95,Dairy And Cold Storage,Dairy,Yoghurt Soured Milk Products,Creme Fraiche Quark,,,,,,,Creme Fraiche Quark
2400,Netto Emdrupvej,Emdrupvej 107,RULLEPØLSE PÅLÆKKER,15.95,9,6.95,Dairy And Cold Storage,Lunch Meats,Meat,Sausage Roll,,,,,,,Sausage Roll
2400,Netto Emdrupvej,Emdrupvej 107,HAMBURGERRYG EGELYKKE,15.5,12,3.5,Dairy And Cold Storage,Lunch Meats,Meat,Smoked Saddle Of Pork,,,,,,,Smoked Saddle Of Pork
2400,Netto Emdrupvej,Emdrupvej 107,CHILI HUMMUS LA CAMPAGNA,19.95,10,9.95,Dairy And Cold Storage,Tapas Specialities,Pesto Hummus,,,,,,,,Pesto Hummus
2400,Netto Emdrupvej,Emdrupvej 107,ITALIENSK SALAT K-SALAT,12.0,9,3.0,Dairy And Cold Storage,Lunch Meats,Mayo Salads,Italian Mayo Salads,,,,,,,Italian Mayo Salads
2400,Netto Emdrupvej,Emdrupvej 107,CREAMY WHITE CASTELLO,14.0,11,3.0,Dairy And Cold Storage,Dairy,Cheese,Blue Cheese Brie,,,,,,,Blue Cheese Brie
2400,Netto Emdrupvej,Emdrupvej 107,RULLEPØLSE EGELYKKE,14.5,11,3.5,Dairy And Cold Storage,Lunch Meats,Meat,Sausage Roll,,,,,,,Sausage Roll
2400,Netto Emdrupvej,Emdrupvej 107,PLANTEPOSTEJ HANEGAL,18.95,10,8.95,Dairy And Cold Storage,Lunch Meats,Plant Based Toppings,,,,,,,,Plant Based Toppings
2400,Netto Emdrupvej,Emdrupvej 107,VITAMIN SMOOTHIE VALSØLILLE,22.95,16,6.95,Beverages,Juice Smoothies,Smoothies,,,,,,,,Smoothies
2400,Netto Emdrupvej,Emdrupvej 107,SKINKESTRIMLER NÆMT,16.95,12,4.95,Dairy And Cold Storage,Bacon Sausages Toppings,Chopped Ham,,,,,,,,Chopped Ham
2400,Netto Emdrupvej,Emdrupvej 107,HONNINGSKINKE MINIMUM,15.95,9,6.95,Dairy And Cold Storage,Lunch Meats,Meat,Cold Cuts Ham,,,,,,,Cold Cuts Ham
2400,Netto Emdrupvej,Emdrupvej 107,BURGUNDERSKINKE MINIMUM,15.95,8,7.95,Dairy And Cold Storage,Lunch Meats,Meat,Cold Cuts Ham,,,,,,,Cold Cuts Ham
2400,Netto Emdrupvej,Emdrupvej 107,OLIVEN MIX LA CAMPAGNA,19.95,13,6.95,Dairy And Cold Storage,Tapas Specialities,Olives Other Attachments,,,,,,,,Olives Other Attachments
2400,Netto Emdrupvej,Emdrupvej 107,GREVEFEDT LAMPE,15.0,11,4.0,,,,,,,,,,,
2400,Netto Emdrupvej,Emdrupvej 107,ØKO LETMÆLK LØGISMOSE,17.25,11,6.25,Dairy And Cold Storage,Dairy,Milk,Skimmed Milk,,,,,,,Skimmed Milk
2400,Netto Emdrupvej,Emdrupvej 107,ØKO KÆRNEMÆLK LØGISMOSE,13.95,8,5.95,Dairy And Cold Storage,Dairy,Yoghurt Soured Milk Products,Buttermilk,,,,,,,Buttermilk
2400,Netto Emdrupvej,Emdrupvej 107,PIZZADEJ ØGO,14.95,11,3.95,Dairy And Cold Storage,Fresh Dough And Pancakes,fresh Dough,,,,,,,,fresh Dough
2400,Netto Emdrupvej,Emdrupvej 107,KALKUNBRYST EGELYKKE,15.5,12,3.5,Dairy And Cold Storage,Lunch Meats,Meat,Cold Cuts Turkey,,,,,,,Cold Cuts Turkey
2400,Netto Emdrupvej,Emdrupvej 107,GROVHAK. LEVERPOSTEJ STRYHNS,29.95,15,14.95,Dairy And Cold Storage,Lunch Meats,Liver Paste Patee,,,,,,,,Liver Paste Patee
2400,Netto Emdrupvej,Emdrupvej 107,TØRSALTET BACON AALBÆK,10.0,7,3.0,Dairy And Cold Storage,Bacon Sausages Toppings,Bacon,Sliced Bacon,,,,,,,Sliced Bacon
2400,Netto Emdrupvej,Emdrupvej 107,OKSEPØLSER ØGO,39.95,25,14.95,Dairy And Cold Storage,Bacon Sausages Toppings,Sausages,Beef Sausages,,,,,,,Beef Sausages
2400,Netto Emdrupvej,Emdrupvej 107,RULLEPØLSE SMAGEN AF AARHUS,17.95,13,4.95,Dairy And Cold Storage,Lunch Meats,Meat,Sausage Roll,,,,,,,Sausage Roll
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,SVINEMØRBRAD VELSMAG,126.95,82,44.95,Meat Fish,Pork,Roasted Whole Pork Pieces,Pork Tenderloin,,,,,,,Pork Tenderloin
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,RISOTTO CHAMPIG NÆMT,30.0,18,12.0,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,,,,,,,,Dinner Meals
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,KARTOFFEL SANDWICH KOHBERG,14.95,7,7.95,Bread And Cakes,Light Breads Dark Breads,Toast Breads,,,,,,,,Toast Breads
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,FULDKORNSBOLLER SCHULSTAD,25.0,15,10.0,Bread And Cakes,Light Breads Dark Breads,Light Dark Buns,,,,,,,,Light Dark Buns
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,KRYDDERBOLLER GAMLE MØLLE,8.5,5,3.5,Bread And Cakes,Light Breads Dark Breads,Light Dark Buns,,,,,,,,Light Dark Buns
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,INNOCENT BLÅBÆR/SOL/ 900 ML +PANT,20.0,15,5.0,Beverages,Juice Smoothies,Multi Fruit Juices,,,,,,,,Multi Fruit Juices
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,MULTIKERNE BOLLER SCHULSTAD,25.0,13,12.0,Bread And Cakes,Light Breads Dark Breads,Light Dark Buns,,,,,,,,Light Dark Buns
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,GULERODSBOLLER GAMLE MØLLE,15.95,12,3.95,Bread And Cakes,Light Breads Dark Breads,Light Dark Buns,,,,,,,,Light Dark Buns
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,PROTEINBRØD KOHBERG,25.95,20,5.95,Bread And Cakes,Rye Breads,Seeded Rye Breads,,,,,,,,Seeded Rye Breads
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,SØDMÆLKSBRØD SCHULSTAD,20.0,15,5.0,Bread And Cakes,Light Breads Dark Breads,Whole Breads,,,,,,,,Whole Breads
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,"JUICE CITRON, LIME INNOCENT",20.0,15,5.0,Beverages,Juice Smoothies,Multi Fruit Juices,,,,,,,,Multi Fruit Juices
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,BACON POSTEJ STRYHNS,29.95,15,14.95,Dairy And Cold Storage,Lunch Meats,Liver Paste Patee,,,,,,,,Liver Paste Patee
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,COCKTAILPØLSER NÆMT,18.95,15,3.95,Dairy And Cold Storage,Bacon Sausages Toppings,Sausages,Cocktail Sausages Brunch Sausages,,,,,,,Cocktail Sausages Brunch Sausages
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,BACH SCHINKE SMAGEN AF AARHUS,17.95,14,3.95,Dairy And Cold Storage,Lunch Meats,Meat,Cold Cuts Ham,,,,,,,Cold Cuts Ham
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,FLØDEKARTOFLER BACON PEKA,24.95,16,8.95,Dairy And Cold Storage,Potato Accessories,Cream Potatoes,,,,,,,,Cream Potatoes
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,SAN. KYL. TOMAT PÅLÆKKER,15.95,8,7.95,Dairy And Cold Storage,Lunch Meats,Meat,Cold Cuts Chicken,,,,,,,Cold Cuts Chicken
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,ÆBLEJUICE INNOCENT,20.0,15,5.0,Beverages,Juice Smoothies,Apple Juices,,,,,,,,Apple Juices
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,ØKO SKIVER MINI THEM,24.0,17,7.0,,,,,,,,,,,
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,KERNERUGBRØD ØGO,15.95,9,6.95,Bread And Cakes,Rye Breads,Seeded Rye Breads,,,,,,,,Seeded Rye Breads
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,HØRFRØ RUGBRØD GAMLE MØLLE,9.75,7,2.75,Bread And Cakes,Rye Breads,Seeded Rye Breads,,,,,,,,Seeded Rye Breads
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,MEDISTER VELSMAG,20.0,15,5.0,,,,,,,,,,,
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,FRANSK LEVERPOSTEJ STRYHNS,29.95,15,14.95,Dairy And Cold Storage,Lunch Meats,Liver Paste Patee,,,,,,,,Liver Paste Patee
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,MEDISTER VELSMAG,34.95,21,13.95,Meat Fish,Pork,Thick Sausages,,,,,,,,Thick Sausages
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,BURGER BOOST SLIDERS DANISH CROWN,44.95,35,9.95,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,,,,,,,,Dinner Meals
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,THEM ML SKIVER 175 G - ØKO,24.0,17,7.0,Dairy And Cold Storage,Dairy,Cheese,Sliced Cheese,,,,,,,Sliced Cheese
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,ROASTBEEF SMAGEN AF AARHUS,19.95,10,9.95,Dairy And Cold Storage,Lunch Meats,Meat,Roastbeef,,,,,,,Roastbeef
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,JUICE HINDBÆR SOLBÆR INNOCENT,20.0,14,6.0,Beverages,Juice Smoothies,Multi Fruit Juices,,,,,,,,Multi Fruit Juices
2400,Netto Frederikssundsvej 52,Frederikssundsvej 52 ST.,BACONSTRIMLER BRUNCHY,21.95,17,4.95,Dairy And Cold Storage,Bacon Sausages Toppings,Bacon,Chopped Bacon Bits,,,,,,,Chopped Bacon Bits
